ID	Yield
1	24.12999916
2	24.54000092
3	18.8199997
4	22.5
5	20.44000053
6	6.03000021
7	21.36000061
8	25.70999908
9	22.38999939
10	14.97000027
11	21.10000038
12	27.54000092
13	19.0
14	33.02999878
15	28.86000061
16	26.12000084
17	27.46999931
18	20.21999931
19	27.60000038
20	28.5
21	16.20000076
22	27.86000061
23	27.12999916
24	15.67000008
25	17.51000023
26	18.57999992
27	18.62999916
28	20.45000076
29	9.100000382
30	8.529999733
31	16.44000053
32	15.22999954
33	31.86000061
34	12.39999962
35	12.05000019
36	13.5699997
37	18.19000053
38	15.44999981
39	16.60000038
40	17.55999947
41	12.22000027
42	22.12999916
43	23.73999977
44	17.48999977
45	37.33000183
46	40.50999832
47	19.70999908
48	14.01000023
49	13.14000034
50	21.26000023
51	16.62000084
52	13.89999962
53	17.37000084
54	6.5199999810000016
55	27.40999985
56	20.77000046
57	27.14999962
58	26.71999931
59	24.29999924
60	18.94000053
61	35.52000046
62	21.27000046
63	12.92000008
64	16.15999985
65	23.03000069
66	20.12000084
67	30.26000023
68	22.72999954
69	27.95999908
70	16.32999992
71	23.51000023
72	18.54999924
73	16.84000015
74	13.52000046
75	16.0699997
76	9.56000042
77	28.61000061
78	28.87999916
79	11.77000046
80	22.5
81	11.93000031
82	11.31000042
83	21.39999962
84	21.80999947
85	15.07999992
86	24.53000069
87	16.8199997
88	22.48999977
89	11.11999989
90	23.72999954
91	30.79999924
92	29.29000092
93	30.10000038
94	25.71999931
95	71.09999847
96	13.22999954
97	31.72999954
98	50.38000107
99	42.75999832
100	20.0699997
